--- Relatório Detalhado de Falhas (Blue Threshold: 0.12) ---

Arquivo: img_000009.jpg | Status: incorrect | Esperado: QRD1911 | Lido: ORD1911
Arquivo: img_000011.jpg | Status: incorrect | Esperado: MQI3733 | Lido: MOI3733
Arquivo: img_000016.jpg | Status: ocr_failed | Esperado: LRL4891 | Lido: MARCOPOLE
Arquivo: img_000030.jpg | Status: detection_failed | Esperado: MTK6939 | Lido: 
Arquivo: img_000022.jpg | Status: incorrect | Esperado: HBL9124 | Lido: HBL9I24
Arquivo: img_000025.jpg | Status: incorrect | Esperado: KQV2056 | Lido: KOV2056
Arquivo: img_000028.jpg | Status: ocr_failed | Esperado: ODK4343 | Lido: 
Arquivo: img_000049.jpg | Status: detection_failed | Esperado: PPT7058 | Lido: 
Arquivo: img_000053.jpg | Status: incorrect | Esperado: PPQ1223 | Lido: PPO1223
Arquivo: img_000064.jpg | Status: incorrect | Esperado: ODD0831 | Lido: DLE0000
Arquivo: img_000078.jpg | Status: detection_failed | Esperado: EYO3502 | Lido: 
Arquivo: img_000080.jpg | Status: detection_failed | Esperado: KVW4909 | Lido: 
Arquivo: img_000082.jpg | Status: detection_failed | Esperado: OYK9672 | Lido: 
Arquivo: img_000087.jpg | Status: detection_failed | Esperado: KSV3325 | Lido: 
Arquivo: img_000073.jpg | Status: incorrect | Esperado: QRD8410 | Lido: QRO8A10
Arquivo: img_000077.jpg | Status: incorrect | Esperado: MQC8984 | Lido: NOC8984
Arquivo: img_000093.jpg | Status: detection_failed | Esperado: PPJ0865 | Lido: 
Arquivo: img_000079.jpg | Status: ocr_failed | Esperado: MRO2620 | Lido: 
Arquivo: img_000098.jpg | Status: detection_failed | Esperado: MTS0495 | Lido: 
Arquivo: img_000088.jpg | Status: ocr_failed | Esperado: OYG1026 | Lido: TURISMOBRASIL
Arquivo: img_000104.jpg | Status: detection_failed | Esperado: MRO9366 | Lido: 
Arquivo: img_000091.jpg | Status: ocr_failed | Esperado: MTZ7571 | Lido: 
Arquivo: img_000105.jpg | Status: detection_failed | Esperado: OVF4168 | Lido: 
Arquivo: img_000106.jpg | Status: detection_failed | Esperado: PPQ2277 | Lido: 
Arquivo: img_000094.jpg | Status: ocr_failed | Esperado: MPS4323 | Lido: 
Arquivo: img_000099.jpg | Status: incorrect | Esperado: QMQ1271 | Lido: QMO1Z71
Arquivo: img_000108.jpg | Status: ocr_failed | Esperado: MRQ9317 | Lido: 
Arquivo: img_000124.jpg | Status: detection_failed | Esperado: OYJ7768 | Lido: 
Arquivo: img_000122.jpg | Status: ocr_failed | Esperado: MSA3310 | Lido: 
Arquivo: img_000119.jpg | Status: ocr_failed | Esperado: MSD2843 | Lido: GUINCHO
Arquivo: img_000138.jpg | Status: detection_failed | Esperado: ODM7278 | Lido: 
Arquivo: img_000139.jpg | Status: detection_failed | Esperado: OYI8894 | Lido: 
Arquivo: img_000128.jpg | Status: incorrect | Esperado: ODO9891 | Lido: LLS0009
Arquivo: img_000133.jpg | Status: incorrect | Esperado: MTZ3256 | Lido: MTZ3258
Arquivo: img_000134.jpg | Status: incorrect | Esperado: MST8531 | Lido: MST8S31
Arquivo: img_000136.jpg | Status: ocr_failed | Esperado: ODR2138 | Lido: BMOA
Arquivo: img_000146.jpg | Status: detection_failed | Esperado: ODR3127 | Lido: 
Arquivo: img_000135.jpg | Status: incorrect | Esperado: OVI9976 | Lido: OVI9G76
Arquivo: img_000148.jpg | Status: detection_failed | Esperado: MTC6112 | Lido: 
Arquivo: img_000137.jpg | Status: ocr_failed | Esperado: PPW4661 | Lido: PPW466
Arquivo: img_000142.jpg | Status: incorrect | Esperado: MSB1096 | Lido: MSG1096
Arquivo: img_000143.jpg | Status: ocr_failed | Esperado: JEG8603 | Lido: 
Arquivo: img_000144.jpg | Status: ocr_failed | Esperado: ODB7841 | Lido: 00B784
Arquivo: img_000149.jpg | Status: incorrect | Esperado: KZG4329 | Lido: YZG4329
Arquivo: img_000156.jpg | Status: incorrect | Esperado: ODF5623 | Lido: DDF5623
Arquivo: img_000155.jpg | Status: incorrect | Esperado: OYJ6834 | Lido: IYJ6834
Arquivo: img_000169.jpg | Status: detection_failed | Esperado: ODR3127 | Lido: 
Arquivo: img_000165.jpg | Status: incorrect | Esperado: ODQ0381 | Lido: OQQ0381
Arquivo: img_000179.jpg | Status: detection_failed | Esperado: PPV2861 | Lido: 
Arquivo: img_000178.jpg | Status: incorrect | Esperado: QRD3012 | Lido: QRO3012
Arquivo: img_000181.jpg | Status: incorrect | Esperado: GJZ8809 | Lido: GJZ8B09
Arquivo: img_000184.jpg | Status: ocr_failed | Esperado: PPW4661 | Lido: PP4661
Arquivo: img_000191.jpg | Status: ocr_failed | Esperado: MSB4766 | Lido: 
Arquivo: img_000198.jpg | Status: incorrect | Esperado: MTZ3256 | Lido: MTZ3258
Arquivo: img_000194.jpg | Status: incorrect | Esperado: MSE9185 | Lido: MSE9I85
Arquivo: img_000201.jpg | Status: incorrect | Esperado: ODR3984 | Lido: DDR3984
Arquivo: img_000213.jpg | Status: detection_failed | Esperado: PPJ6812 | Lido: 
Arquivo: img_000218.jpg | Status: detection_failed | Esperado: EOY0572 | Lido: 
Arquivo: img_000217.jpg | Status: ocr_failed | Esperado: PPW2782 | Lido: 
Arquivo: img_000229.jpg | Status: detection_failed | Esperado: PPW7578 | Lido: 
Arquivo: img_000240.jpg | Status: detection_failed | Esperado: ODG6312 | Lido: 
Arquivo: img_000242.jpg | Status: detection_failed | Esperado: ODR3127 | Lido: 
Arquivo: img_000243.jpg | Status: detection_failed | Esperado: MPK7245 | Lido: 
