--- Relatório Detalhado de Falhas de Localização ---

Arquivo                   | Score IoU
----------------------------------------
img_003933.jpg            | 0.000
img_000910.jpg            | 0.000
img_013087.jpg            | 0.000
img_000445.jpg            | 0.000
img_000119.jpg            | 0.000
img_012940.jpg            | 0.000
img_011969.jpg            | 0.000
img_004732.jpg            | 0.000
img_011516.jpg            | 0.000
img_002035.jpg            | 0.000
img_012550.jpg            | 0.000
img_010508.jpg            | 0.000
img_012849.jpg            | 0.000
img_004127.jpg            | 0.000
img_011131.jpg            | 0.000
img_011216.jpg            | 0.000
img_012871.jpg            | 0.000
img_004289.jpg            | 0.000
img_003202.jpg            | 0.000
img_002277.jpg            | 0.000
img_002779.jpg            | 0.000
img_001283.jpg            | 0.000
img_011465.jpg            | 0.000
img_001182.jpg            | 0.000
img_011804.jpg            | 0.000
img_000813.jpg            | 0.000
img_001274.jpg            | 0.000
img_003920.jpg            | 0.000
img_000217.jpg            | 0.000
img_002610.jpg            | 0.000
img_001142.jpg            | 0.000
img_013944.jpg            | 0.000
img_002096.jpg            | 0.000
img_004980.jpg            | 0.000
img_000951.jpg            | 0.000
img_001723.jpg            | 0.000
img_010180.jpg            | 0.000
img_002191.jpg            | 0.000
img_001255.jpg            | 0.000
img_000770.jpg            | 0.000
img_002675.jpg            | 0.000
img_014245.jpg            | 0.000
img_001124.jpg            | 0.000
img_000094.jpg            | 0.000
img_000415.jpg            | 0.000
img_011314.jpg            | 0.000
img_001480.jpg            | 0.000
img_003497.jpg            | 0.000
img_010516.jpg            | 0.000
img_003571.jpg            | 0.000
img_000136.jpg            | 0.000
img_004762.jpg            | 0.000
img_003005.jpg            | 0.000
img_011645.jpg            | 0.000
img_003329.jpg            | 0.000
img_014780.jpg            | 0.000
img_003057.jpg            | 0.000
img_004064.jpg            | 0.026
img_004039.jpg            | 0.031
img_010658.jpg            | 0.035
img_002310.jpg            | 0.037
img_004206.jpg            | 0.042
img_012631.jpg            | 0.047
img_000435.jpg            | 0.050
img_003815.jpg            | 0.058
img_012126.jpg            | 0.061
img_000507.jpg            | 0.062
img_003207.jpg            | 0.064
img_003146.jpg            | 0.065
img_002338.jpg            | 0.066
img_002139.jpg            | 0.067
img_002026.jpg            | 0.069
img_003339.jpg            | 0.069
img_010306.jpg            | 0.069
img_000368.jpg            | 0.072
img_000524.jpg            | 0.072
img_003419.jpg            | 0.074
img_001539.jpg            | 0.075
img_000873.jpg            | 0.077
img_003802.jpg            | 0.080
img_000235.jpg            | 0.080
img_000977.jpg            | 0.082
img_011711.jpg            | 0.084
img_001563.jpg            | 0.087
img_004080.jpg            | 0.093
img_002808.jpg            | 0.094
img_011316.jpg            | 0.094
img_002762.jpg            | 0.094
img_003009.jpg            | 0.095
img_001701.jpg            | 0.099
